testname,width,height,num_seams_removed,grey,conv,convp,pathsum,minpath,rmpath,malloc,total
base,1920,1080,361,41647383,954300451,1123063967,22849649599,25220826,1155981871,8599027,2615846312
base,1920,1080,361,41361411,954934627,1122418581,22858833943,25214947,1134532880,8641237,2614593762
base,1920,1080,361,41521868,954428960,1123198230,22853628600,25297440,1123510956,8877070,2613046312
base,1920,1080,361,41485935,954427133,1122312517,22851124463,25243527,1134139189,8705851,2613743861
base,1920,1080,421,82432289,1160127338,1344796906,26859860184,30307867,1294381219,15355304,3078726110
base,1920,1080,421,39692125,954056369,1308926491,26188970544,29652261,1250931816,5486154,2977771576
base,1920,1080,421,41552343,956735337,1311941598,26214904676,29726543,1285983803,8618857,2984946315
base,1920,1080,421,41917295,961113338,1311882835,26236896394,29755999,1294403310,8548954,2988451812
base,1920,1080,421,41846932,953663694,1310269885,26194142012,29733512,1267573268,8401025,2980563032
base,1920,1080,421,42050289,954283369,1312638615,26192233428,29718161,1268084666,8395312,2980740384
base,1920,1080,421,41483095,954367410,1311348228,26192940555,29618485,1281537099,8244749,2981953962
base,1920,1080,421,41536597,953757041,1312897091,26245308916,29867256,1290820283,8417737,2988260492
base,1920,1080,421,41502441,953504945,1312071764,26201973916,29669743,1283236127,8296867,2983025580
base,1920,1080,421,41482993,953940358,1311340679,26189182652,29640666,1270362915,8377262,2980432752
base,1920,1080,421,41446028,954196853,1310709016,26196285322,29659229,1273284728,8437885,2981401906
base,1920,1080,421,41525996,953886935,1309983751,26193073572,29681184,1273576978,8439992,2981016840
base,1920,1080,421,41609318,954376913,1314519674,26285177764,29860180,1283590230,8354828,2991748890
base,1920,1080,421,41615095,955017649,1312272847,26202825305,29686587,1282747191,8419986,2983258466
base,1920,1080,421,41520972,954630746,1312528124,26200118531,29675964,1287077440,8465982,2983401775
base,1920,1080,421,41514546,953427136,1311610180,26191112726,29647476,1271258861,8314957,2980688588
base,1920,1080,481,82045331,1160952174,1506292260,29562833717,33934966,1418602752,15529905,3378019110
base,1920,1080,481,39704721,953594877,1496244869,29390110865,33649713,1369141830,5482109,3328792898
base,1920,1080,481,41577076,954266022,1498299546,29392565605,33470681,1385981154,8295982,3331445606
base,1920,1080,481,41538414,954438397,1497782640,29390758331,33770811,1404222887,8679903,3333119138
base,1920,1080,481,41628558,955245222,1499714066,29400055117,33820607,1403851018,8773611,3334308819
base,1920,1080,481,41492937,954173402,1502878197,29478232146,34024645,1419263474,8732191,3343879699
base,1920,1080,481,41518792,954297132,1498305346,29414826630,33774226,1406469212,8598638,3335778997
base,1920,1080,481,41483366,954125359,1499271805,29410379127,33828114,1415381470,9084061,3336355330
base,1920,1080,481,41523953,954565385,1499820178,29419709436,33806469,1415731152,8751906,3337390847
base,1920,1080,481,41535951,955527180,1498260804,29396398872,33719942,1401826534,8999068,3333626835
base,1920,1080,481,41529461,954938528,1498603234,29407060226,33799814,1394216123,8930667,3333907805
base,1920,1080,481,41541009,955630449,1498993567,29394568811,33786278,1392177119,8939211,3332563644
base,1920,1080,481,41464367,954661734,1498870390,29393614368,33696335,1407323468,8805518,3333843618
base,1920,1080,481,41472305,954428093,1498059023,29392347532,33725699,1390922313,8709299,3331966426
base,1920,1080,481,41555171,953734825,1497663171,29389083593,33778958,1391965274,9019874,3331680086
base,1920,1080,481,41487639,953742894,1502110799,29445449793,33850470,1429512475,8810409,3341496447
base,1920,1080,1,76830154,1068920893,0,73848998,81653,4572876,16976998,124123157
base,1920,1080,1,41678185,954141844,0,73409705,77315,4281736,7533407,108112219
base,1920,1080,1,41354749,953632195,0,73568291,79747,4269659,7370498,108027513
base,1920,1080,61,79058469,1152675284,194601646,4366143480,4636195,246820605,13905813,605784149
base,1920,1080,61,39739549,954793143,187548897,4204580928,4390650,237762195,4773707,563358906
base,1920,1080,61,41506420,954992561,187439909,4207183165,4432659,242152483,7717238,564542443
base,1920,1080,121,81567629,1159719428,366012477,8011463143,8486055,461558375,14310665,1010311777
base,1920,1080,121,37636986,903721374,355451346,7779915683,8268684,441200997,4887798,953108286
base,1920,1080,121,39390233,904280887,356279822,7774379553,8250938,448603719,7812569,953899772
base,1920,1080,181,73122292,1134818740,567499125,12204492296,13093500,658876494,15307417,1466720986
base,1920,1080,181,39717801,952192343,560039153,12061274303,12791055,647601580,5064679,1427868091
base,1920,1080,181,39677507,952605760,560038781,12063880624,12828485,656640611,8243483,1429391525
base,1920,1080,241,81773965,1162079780,757048049,15962307083,17295094,838087848,14345297,1883293711
base,1920,1080,241,39727020,956960448,749343239,15794984523,17075653,831355009,5478810,1839492470
base,1920,1080,241,41523563,955616064,751138270,15802165694,17125478,827192867,8532297,1840329423
base,1920,1080,301,81548130,1202447590,978250861,19559849342,21507499,1006066764,14245288,2286391547
base,1920,1080,301,39716134,992857333,969530358,19391784078,21181288,986783057,5043490,2240689573
base,1920,1080,301,39645440,993501591,969747515,19397711870,21135006,995817240,8479757,2242603841
base,1920,1080,361,81990669,1160000846,1076171877,21909371375,24363210,1130966954,15428044,2539829297
base,1920,1080,361,37595645,905714252,1064770349,21664551502,24166495,1112769617,5340837,2481490869
base,1920,1080,361,39847424,902880189,1065528221,21666498475,24202005,1108371514,8256401,2481558422
base,1920,1080,421,81623635,1158338826,1317463922,26360931082,29833866,1271459958,13843095,3023349438
base,1920,1080,421,39686955,955203901,1312838322,26258949003,29864471,1288553031,5201224,2989029690
base,1920,1080,421,41492893,957679741,1312515438,26199601769,29703605,1297302132,8094304,2984638988
base,1920,1080,481,82036461,1159206584,1505461582,29572781434,33985413,1413880467,15193959,3378254590
base,1920,1080,481,39658109,953173382,1497316329,29419527904,33733988,1396356694,5682823,3334544922
base,1920,1080,481,41628201,953236000,1497723802,29405652523,33778000,1409080148,8552876,3334965155
base,1920,1080,541,81639514,1159772064,1694518698,32634705560,38452415,1539730557,14698778,3716351758
base,1920,1080,541,39656006,953422714,1685018844,32485594370,38309834,1511668827,5635104,3671930569
base,1920,1080,541,41622691,954138636,1686939258,32479886199,38321794,1546071082,8403843,3675538350
base,1920,1080,601,81415761,1158753702,1790484773,33834748998,40269985,1615450445,14620561,3853574422
base,1920,1080,601,37571493,905692508,1780266838,33639635372,39982087,1564391648,5324451,3797286439
base,1920,1080,601,39391299,907674270,1780435598,33591973362,39977682,1566859443,7987262,3793429891
base,1920,1080,661,78973259,1153228070,2067810814,38387465371,46558797,1715871359,12418441,4346232611
base,1920,1080,661,39675209,957605955,2058893272,38214805863,46502688,1715611802,5279752,4303837454
base,1920,1080,661,41713801,953809684,2061275967,38217573546,46441805,1726985155,8416583,4305621654
base,1920,1080,721,78648480,1151611864,2255692658,41058932784,50507248,1818819767,13840579,4642805338
base,1920,1080,721,39636698,954183654,2251687197,40968089389,50375483,1819150166,5304986,4608842757
base,1920,1080,721,41595822,957694444,2248119158,40898272929,50423894,1811142331,8458850,4601570742
base,1920,1080,781,78647348,1151363760,2442377710,43594391719,54983929,1921697804,14162713,4925762498
base,1920,1080,781,39829682,953773044,2432841688,43434553367,54835511,1890625100,5581602,4881203999
base,1920,1080,781,41441376,954462441,2438175546,43445910759,54967610,1921040391,8458318,4886445644
base,1920,1080,841,78882895,1151669120,2498311722,43683926707,56170388,1936298434,13136667,4941839593
base,1920,1080,841,37555042,904849591,2488269984,43450767803,56276129,1925204383,5039138,4886796207
base,1920,1080,841,39371764,903628998,2490563818,43451976666,56020293,1941494357,8207277,4889126317
base,1920,1080,901,78778397,1152286948,2817287579,48295463592,62631470,2120306386,14789715,5454154408
base,1920,1080,901,39683320,954211500,2807974474,48137755276,62395429,2044846748,5483892,5405235063
base,1920,1080,901,41621318,955539791,2808906095,48126843996,62345824,2074178266,8187903,5407762319
base,352,240,1,4491685,94553292,0,6600029,34311,334913,1211315,10722554
base,352,240,1,3573041,79825148,0,5987456,29806,298160,670257,9038386
base,352,240,1,3040268,70418967,0,5092283,24901,229863,548718,7935500
base,352,240,12,4677724,96090236,15507607,70783132,391647,3602024,1337657,19239002
base,352,240,12,3089140,70902566,12238970,55795023,308326,2848464,501384,14568387
base,352,240,12,2649768,58868874,10534844,47851568,266321,2455220,514253,12314084
base,352,240,23,4800887,96558624,29376601,125582198,704747,6590366,1289904,26490332
base,352,240,23,2782038,64873875,22074682,93871337,531117,4904713,422192,18945995
base,352,240,23,2343556,52115292,18414464,78337180,450444,4095572,460236,15621674
base,352,240,34,4600063,94860574,41339775,172792545,967503,9091355,1185084,32483689
base,352,240,34,2545905,59767296,30014024,124251859,713760,6659212,415245,22436730
base,352,240,34,2103592,47418164,25390092,104902124,610368,5588812,444932,18645808
base,352,240,45,4724343,97727452,53615307,217699095,1293789,11502885,1161508,38772437
base,352,240,45,2422705,56496235,37526844,151474160,924808,8139128,385968,25736984
base,352,240,45,1941988,44091564,33555544,135430764,787808,7289600,418388,22351565
base,352,240,56,4349386,91945494,62874243,249549133,1450324,13172225,1083136,42442394
base,352,240,56,2256724,52586376,43963284,173695904,1027076,9370536,366376,28326627
base,352,240,56,1908076,44041464,42110984,165720060,962600,8965236,420680,26412910
base,352,240,67,4741367,97418183,74673966,292531142,1700775,15730913,1113302,48790964
base,352,240,67,2176820,50917960,51549952,199913788,1179592,10980788,391136,31711003
base,352,240,67,1896204,44036832,50424212,194863392,1153372,10611428,449348,30343478
base,352,240,78,4334007,92369218,82295826,316035418,1863600,16948220,1044083,51489037
base,352,240,78,2007360,47791324,59111636,224573664,1351480,12248888,372992,34745734
base,352,240,78,1893608,44046748,58863920,223378056,1354160,12169544,445144,34215118
base,352,240,89,4679114,97487642,94257895,354550288,2111263,19255691,1076817,57341871
base,352,240,89,2056760,46649652,67308260,250357456,1528408,13836972,376316,38211382
base,352,240,89,1893512,44060012,67211944,249658452,1517144,13766248,441172,37854848
base,352,240,100,4335981,92215397,100228439,372369604,2288373,20388171,1033881,59285984
base,352,240,100,1874176,44543564,75716488,275469976,1710804,15267456,386676,41496914
base,352,240,100,1891224,44051440,75709200,275537604,1709928,15272396,466132,41463792
base,352,240,111,4661239,97355651,111721289,408726721,2517214,22502147,1084850,64856911
base,352,240,111,1829076,44011856,84001048,300056880,1890504,16860948,370336,44902064
base,352,240,111,1891792,44054348,84099632,299965296,1885168,16813672,457424,44916733
base,352,240,122,4367634,92981431,117660557,423293161,2638768,23568086,1035561,66554519
base,352,240,122,1817336,43977636,92670580,323957996,2061044,18234916,384612,48310412
base,352,240,122,1906656,44260732,92396384,323947120,2074604,18271700,466668,48332386
base,352,240,133,4683338,97406581,128304695,454070265,2855567,25504168,1105806,71393042
base,352,240,133,1833220,43976716,100760400,346448996,2241800,19770464,409292,51544088
base,352,240,133,1889216,44040044,101013376,346200880,2225928,19824524,475932,51566990
base,352,240,144,4842698,97518772,136802025,475038996,3046880,26842860,1069990,74516222
base,352,240,144,1816476,43971696,109219800,367399368,2425196,21153268,391428,54637723
base,352,240,144,1895188,44058376,109297068,367324148,2409032,21151832,477628,54661327
base,352,240,155,4670592,97671129,145213493,494838792,3197903,28272907,1076253,77494106
base,352,240,155,1816368,43977552,117806220,387670856,2599084,22612244,413224,57689554
base,352,240,155,1891160,44050376,117858096,387537996,2580576,22593448,500668,57701232
base,352,240,166,4481061,92655638,151356129,504843942,3324823,28925303,1033531,78662042
base,352,240,166,1817428,43990396,126135944,407495428,2770656,23862804,398768,60647142
base,352,240,166,1898256,44071500,126141388,406931428,2751976,24039632,486304,60632048
base,480,360,1,9209207,178001959,0,12198170,46190,526502,2397773,20237980
base,480,360,1,6575708,135583504,0,10071046,37226,416182,1529758,15421342
base,480,360,1,5192010,113698206,0,8557744,31368,349580,1115813,12894472
base,480,360,16,8878428,174480809,25600655,154182575,621177,6921762,2141643,37282704
base,480,360,16,4952006,110319256,18721352,111926568,452044,5046432,691256,25210891
base,480,360,16,3890628,90195048,17327388,103727228,424340,4715196,888076,22116790
base,480,360,31,8991524,175075782,46771481,268136311,1097979,12234411,2033283,51434077
base,480,360,31,4235412,96381760,34782720,197646844,821724,9063088,663540,34359508
base,480,360,31,3883436,90058936,34847956,197549484,820324,9063104,912060,33713530
base,480,360,46,9085340,175497204,65143495,362975938,1502962,16781342,1957523,63294380
base,480,360,46,3735120,90122936,51951480,287528188,1206352,13291228,663728,44849903
base,480,360,46,3885060,90143988,52001252,287575860,1203832,13292924,907204,44901012
base,480,360,61,9097756,175467149,82606313,451248645,1910928,20774346,1887621,74299275
base,480,360,61,3735792,90018880,69298488,374882476,1588080,17447416,649844,55762097
base,480,360,61,3888252,90033832,69448912,374912052,1597888,17394872,903884,55817969
base,480,360,76,8965467,176538753,100085905,536544529,2315368,24985714,1924372,85136010
base,480,360,76,3729080,89940004,86680148,458898360,2007300,21452700,659932,66336752
base,480,360,76,3894980,89976172,86713868,459173860,1999140,21499484,938252,66419575
base,480,360,91,9004818,175002073,117110780,616208352,2694078,28858600,1870853,95074955
base,480,360,91,3728908,90052620,103978568,540443908,2381828,25444004,670564,76670040
base,480,360,91,3886568,90025380,103989400,540241760,2392384,25407096,935296,76687788
base,480,360,106,8955301,180835246,138929100,692736744,3141218,32384913,1911748,105889427
base,480,360,106,3724336,93389752,127448976,622567672,2794964,29203808,699496,87982900
base,480,360,106,3894676,93412592,125800716,618142736,2786916,29028040,931060,87399673
base,480,360,121,9146807,175653190,152047454,769811071,3470652,36283278,1906682,114831913
base,480,360,121,3730628,90021136,138535888,693248804,3179248,32861772,663504,96224098
base,480,360,121,3911660,90153520,135662860,678455287,3079895,32107999,938971,94431019
base,480,360,136,8894108,175639576,168787985,841500357,3854915,39744476,1860903,124028232
base,480,360,136,3731012,90020772,155672832,764984116,3569464,36497120,696416,105517173
base,480,360,136,3883408,89911728,147506107,727470039,3356514,34556048,883575,100756741
base,480,360,151,8297832,169145726,185763652,903806220,4217808,43114682,1822865,131616878
base,480,360,151,3733752,90330912,174179424,834228928,3972344,40018560,723348,114718726
base,480,360,151,3883116,90506668,159184090,767756045,3581845,36646595,911530,106246988
base,480,360,166,8895726,177154798,203630464,977402188,4613160,46550589,1912823,142015974
base,480,360,166,3734288,90089592,190202468,899471156,4308336,43364296,709932,123188006
base,480,360,166,3886004,90026920,172720638,820395093,3915708,39194030,903285,113104167
base,480,360,181,8879725,176636152,222326839,1040381439,4998645,50123850,1894146,150524079
base,480,360,181,3738664,90036568,208569552,962241776,4723136,46844464,715068,131686922
base,480,360,181,3883396,88733632,185566632,857397234,4155041,41408385,896819,118204113
base,480,360,196,8898076,177452091,238513335,1100466589,5373243,53306898,1973623,158598385
base,480,360,196,3729908,90000336,223481732,1017496219,5049102,49829579,702067,139028894
base,480,360,196,3524783,78763662,189338739,860654606,4245029,41975710,864286,117936681
base,480,360,211,8957732,177751710,255546596,1156922562,5753497,56656558,2060030,166364868
base,480,360,211,3725908,90029620,237829683,1063224881,5352783,52371077,683372,145321732
base,480,360,211,3446446,79996823,215241201,960297407,4789460,46911695,864982,131154801
base,480,360,226,8985599,183838489,281614064,1211490196,6145705,59725159,2020230,175381944
base,480,360,226,3733712,93821756,257594658,1100422453,5607497,54548707,665607,151639439
base,480,360,226,3474505,83290743,237122778,1007371732,5121744,49686304,898406,138696621
base,858,480,1,19992080,345696152,0,22191565,49360,910796,5321759,39416171
base,858,480,1,11403540,234445260,0,17268564,38652,698888,2749652,26660455
base,858,480,1,9246080,214499332,0,17358008,38500,707760,2348800,24419848
base,858,480,27,18621200,325867412,41867072,437776052,1069808,16949756,4901672,84705297
base,858,480,27,8881860,214301788,40262468,417331660,1017888,16204468,1440508,69944064
base,858,480,27,9249396,214356964,40262708,417333728,1019424,16221060,2315716,70075899
base,858,480,53,19547208,327539520,80736430,806774608,1994761,31651264,4798811,127304260
base,858,480,53,8612823,194434891,71536900,715937627,1748698,27349944,1311830,102093271
base,858,480,53,8231805,195221251,71507160,716054711,1741804,27358382,2060393,102217550
base,858,480,79,19807408,338852383,122685828,1205378239,2988572,47215596,4818568,174174659
base,858,480,79,8863820,214627172,116182574,1138446568,2831935,44249265,1376368,152657770
base,858,480,79,8222380,190498240,107451839,1051579717,2589813,40258816,2072044,140267284
base,858,480,105,19595080,336900688,162869168,1568135532,3966212,61448532,4741917,215765712
base,858,480,105,8888408,214340184,147941969,1424078678,3568501,55047662,1373648,185523905
base,858,480,105,8215145,190488198,142816757,1372027408,3433834,52766686,2083490,177183151
base,858,480,131,19364816,335914709,203491560,1918916567,4878072,75412684,4712231,256269063
base,858,480,131,8872792,221870606,169715135,1597596273,4059835,62690287,1339491,206614441
base,858,480,131,7898994,180470473,169346353,1597230606,4115245,62441706,2062468,202356584
base,858,480,157,19621840,337782151,242510174,2250297499,5863330,89077044,4600579,294975261
base,858,480,157,7927037,190727290,214274884,1985513415,5105926,77228427,1362332,248213931
base,858,480,157,8212692,193481041,214529205,1985301893,5171873,77258765,2101516,248605698
base,858,480,183,19594192,338577310,278476925,2540306967,6670198,99899479,4667651,328819272
base,858,480,183,7877905,191093088,250445417,2275193823,5948904,88009570,1421117,281998982
base,858,480,183,8352090,190921923,250490929,2279905207,5958351,88233085,1926420,282578800
base,858,480,209,19704848,337808248,311553443,2796204546,7472502,110380979,4460263,358758482
